"analysis","component","quantity","estimate","se","z","p","undefined_reason","uncertainty_reason","lower","upper","interval_level","p_mc_se","method","reference","region","scope","trait1","trait2","diagnostic_id","native_quantity","name","scale","se_method","p_method","interval_method","se_available","p_available","interval_available","estimate_status","out_of_range","row_id"
"hess_cov","region","cov",-0.00130686539731594,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region013","region","A","C","fit_33","cov","region013","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,131
"hess_cov","region","cov",0.00505115763165654,0.00403134324330113,1.25297136135705,0.210216129323001,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region014","region","A","C","fit_34","cov","region014","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,135
"hess_cov","region","cov",0.00349779165125208,0.00399942848993531,0.874572869612342,0.381806355046794,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region015","region","A","C","fit_35","cov","region015","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,139
"hess_cov","region","cov",0.00270342512844825,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region016","region","A","C","fit_36","cov","region016","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,143
"hess_cov","region","cov",-0.00187491449434318,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region017","region","A","C","fit_37","cov","region017","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,147
"hess_cov","region","cov",0.0030675446313731,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region018","region","A","C","fit_38","cov","region018","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,151
"hess_cov","region","cov",-0.00221422619752684,0.00386141357979751,-0.57342373505688,0.56635782341519,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region019","region","A","C","fit_39","cov","region019","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,155
"hess_cov","region","cov",0.00649884987440876,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region020","region","A","C","fit_40","cov","region020","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,159
"hess_cov","region","cov",0.0701547272231816,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region001","region","B","C","fit_41","cov","region001","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,163
"hess_cov","region","cov",0.0520595634082933,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region002","region","B","C","fit_42","cov","region002","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,167
"hess_cov","region","cov",0.000398276975680353,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region003","region","B","C","fit_43","cov","region003","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,171
"hess_cov","region","cov",0.00467522978775407,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region004","region","B","C","fit_44","cov","region004","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,175
"hess_cov","region","cov",0.00488787037746631,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region005","region","B","C","fit_45","cov","region005","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,179
"hess_cov","region","cov",-0.000152228218576153,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region006","region","B","C","fit_46","cov","region006","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,183
"hess_cov","region","cov",0.00557744778576542,0.00397874465532663,1.40181094011612,0.160971710679357,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region007","region","B","C","fit_47","cov","region007","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,187
"hess_cov","region","cov",0.00593210652640435,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region008","region","B","C","fit_48","cov","region008","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,191
"hess_cov","region","cov",0.00279160388400755,0.00398347395882949,0.700796318203582,0.483430136095484,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region009","region","B","C","fit_49","cov","region009","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,195
"hess_cov","region","cov",0.00125848306196961,0.00412980616105386,0.304731750811391,0.760570465374564,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region010","region","B","C","fit_50","cov","region010","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,199
"hess_cov","region","cov",0.00243272774933566,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region011","region","B","C","fit_51","cov","region011","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,203
"hess_cov","region","cov",0.00238824440634754,0.00419972513661997,0.568666836199107,0.569582257987009,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region012","region","B","C","fit_52","cov","region012","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,207
