"replicate","seed","parameter","estimated","status","draws","mean","sd","median","lower","upper","hpd_lower","hpd_upper","diagnostic_status","rhat","ess_bulk","mcse_mean","method","truth"
6,20262600,"weight_2",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
6,20262600,"weight_3",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
6,20262600,"genetic_covariance[A,A]",TRUE,"available",20000,0.309743924228729,0.0214079758777716,0.309315473336465,0.268543398380554,0.352464203767962,0.269469495750828,0.353126031494913,"available",0.999924478586312,20429.56524756,0.000149710110072793,"bayesr",NA
6,20262600,"h2[A]",TRUE,"available",20000,0.309743924228729,0.0214079758777716,0.309315473336465,0.268543398380554,0.352464203767962,0.269469495750828,0.353126031494913,"available",0.999924478586312,20429.56524756,0.000149710110072793,"bayesr",0.295937482095736
7,20262700,"residual_variance",FALSE,"available",2800,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesc",NA
7,20262700,"effect_variance",FALSE,"available",2800,3e-04,0,3e-04,3e-04,3e-04,3e-04,3e-04,"not_updated",NA,NA,NA,"bayesc",NA
7,20262700,"active_markers",TRUE,"available",2800,995.511071428571,30.7265112105217,996,936,1057,936,1057,"available",1.00001561653148,2391.88528000269,0.628849874510319,"bayesc",909
7,20262700,"weight_0",FALSE,"available",2800,0.98,0,0.98,0.98,0.98,0.98,0.98,"not_updated",NA,NA,NA,"bayesc",NA
7,20262700,"weight_1",FALSE,"available",2800,0.02,0,0.02,0.02,0.02,0.02,0.02,"not_updated",NA,NA,NA,"bayesc",NA
7,20262700,"genetic_covariance[A,A]",TRUE,"available",2800,0.316163207476746,0.016202331378301,0.31603616303226,0.284308422524558,0.348526329084074,0.282321945159274,0.345580055494896,"available",0.999420018041998,2843.83929167983,0.000303730085829702,"bayesc",NA
7,20262700,"h2[A]",TRUE,"available",2800,0.316163207476746,0.016202331378301,0.31603616303226,0.284308422524558,0.348526329084074,0.282321945159274,0.345580055494896,"available",0.999420018041998,2843.83929167983,0.000303730085829702,"bayesc",0.29438778909992
7,20262700,"residual_variance",FALSE,"available",20000,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesr",NA
7,20262700,"effect_variance",FALSE,"available",20000,0.000810810810810811,2.19704663379328e-19,0.000810810810810811,0.000810810810810811,0.000810810810810811,0.000810810810810811,0.000810810810810811,"not_updated",NA,NA,NA,"bayesr",NA
7,20262700,"active_markers",TRUE,"available",20000,991.7692,30.9790028291876,991,932,1053,932,1052,"available",0.99998503918557,20328.8233975779,0.21730200828185,"bayesr",909
7,20262700,"weight_0",FALSE,"available",20000,0.98,2.58480260007822e-16,0.98,0.98,0.98,0.98,0.98,"not_updated",NA,NA,NA,"bayesr",NA
7,20262700,"weight_1",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
7,20262700,"weight_2",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
7,20262700,"weight_3",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
7,20262700,"genetic_covariance[A,A]",TRUE,"available",20000,0.31495682170209,0.0216132389334701,0.314563810071183,0.27324421592449,0.358080403780985,0.273280840093662,0.358094301820986,"available",0.999941226953725,19936.9739876517,0.000153105623274429,"bayesr",NA
7,20262700,"h2[A]",TRUE,"available",20000,0.31495682170209,0.0216132389334701,0.314563810071183,0.27324421592449,0.358080403780985,0.273280840093662,0.358094301820986,"available",0.999941226953725,19936.9739876517,0.000153105623274429,"bayesr",0.29438778909992
8,20262800,"residual_variance",FALSE,"available",2800,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesc",NA
8,20262800,"effect_variance",FALSE,"available",2800,3e-04,0,3e-04,3e-04,3e-04,3e-04,3e-04,"not_updated",NA,NA,NA,"bayesc",NA
8,20262800,"active_markers",TRUE,"available",2800,992.800714285714,31.0337022401577,992,933,1056.65833333333,931,1053,"available",0.99996955364072,2462.00749682132,0.626617896369421,"bayesc",958
8,20262800,"weight_0",FALSE,"available",2800,0.98,0,0.98,0.98,0.98,0.98,0.98,"not_updated",NA,NA,NA,"bayesc",NA
8,20262800,"weight_1",FALSE,"available",2800,0.02,0,0.02,0.02,0.02,0.02,0.02,"not_updated",NA,NA,NA,"bayesc",NA
8,20262800,"genetic_covariance[A,A]",TRUE,"available",2800,0.311763525431833,0.0159055602600796,0.311666595025916,0.281819720052529,0.343754135267646,0.281391332075429,0.342690163190127,"available",1.00169177773736,2737.64667021692,0.000303924205363062,"bayesc",NA
8,20262800,"h2[A]",TRUE,"available",2800,0.311763525431833,0.0159055602600796,0.311666595025916,0.281819720052529,0.343754135267646,0.281391332075429,0.342690163190127,"available",1.00169177773736,2737.64667021692,0.000303924205363062,"bayesc",0.301231624829598
8,20262800,"residual_variance",FALSE,"available",20000,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesr",NA
8,20262800,"effect_variance",FALSE,"available",20000,0.000810810810810811,2.19704663379328e-19,0.000810810810810811,0.000810810810810811,0.000810810810810811,0.000810810810810811,0.000810810810810811,"not_updated",NA,NA,NA,"bayesr",NA
8,20262800,"active_markers",TRUE,"available",20000,989.5225,31.0379165113103,989,929,1051,928,1049,"available",1.00008718128944,20383.9529257567,0.217417177875503,"bayesr",958
8,20262800,"weight_0",FALSE,"available",20000,0.98,2.58480260007822e-16,0.98,0.98,0.98,0.98,0.98,"not_updated",NA,NA,NA,"bayesr",NA
8,20262800,"weight_1",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
8,20262800,"weight_2",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
8,20262800,"weight_3",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
8,20262800,"genetic_covariance[A,A]",TRUE,"available",20000,0.307867036352592,0.0215523981571435,0.307720694317793,0.266720785865365,0.351254841417015,0.266022057782668,0.350381288463714,"available",0.999984168121803,20496.3929009496,0.000150557912877336,"bayesr",NA
8,20262800,"h2[A]",TRUE,"available",20000,0.307867036352592,0.0215523981571435,0.307720694317793,0.266720785865365,0.351254841417015,0.266022057782668,0.350381288463714,"available",0.999984168121803,20496.3929009496,0.000150557912877336,"bayesr",0.301231624829598
9,20262900,"residual_variance",FALSE,"available",2800,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesc",NA
9,20262900,"effect_variance",FALSE,"available",2800,3e-04,0,3e-04,3e-04,3e-04,3e-04,3e-04,"not_updated",NA,NA,NA,"bayesc",NA
9,20262900,"active_markers",TRUE,"available",2800,998.101428571429,31.540155673282,998,939,1063,938,1061,"available",1.00138396824159,2525.8317202974,0.626565173234177,"bayesc",958
9,20262900,"weight_0",FALSE,"available",2800,0.98,0,0.98,0.98,0.98,0.98,0.98,"not_updated",NA,NA,NA,"bayesc",NA
9,20262900,"weight_1",FALSE,"available",2800,0.02,0,0.02,0.02,0.02,0.02,0.02,"not_updated",NA,NA,NA,"bayesc",NA
9,20262900,"genetic_covariance[A,A]",TRUE,"available",2800,0.313236715062008,0.0163740630780171,0.313116331085188,0.281276664142398,0.346720052060794,0.280701652774497,0.345585459856142,"available",0.999363186893702,2839.87492492396,0.000306638694725558,"bayesc",NA
9,20262900,"h2[A]",TRUE,"available",2800,0.313236715062008,0.0163740630780171,0.313116331085188,0.281276664142398,0.346720052060794,0.280701652774497,0.345585459856142,"available",0.999363186893702,2839.87492492396,0.000306638694725558,"bayesc",0.300622215593296
